OrderID,OrderDate,CustomerID,Region,CustomerSegment,ProductID,ProductCategory,ProductSubcategory,Quantity,UnitPrice,DiscountPercent,GrossSales,NetSales,CostOfGoodsSold,ShippingCost,DeliveryDays,ExpectedDeliveryDays,ReturnFlag,ReturnReason,FulfilmentCenter
ORD00001,16-Aug-2023,CUST1616,West,Small Business,PROD146,Lifestyle,Fitness,5,2172,0.5,10860,5430,5775.648,239,6,5,0,,FC2
ORD00002,26-Sep-2023,CUST1500,West,Small Business,PROD352,Lifestyle,Beauty,1,4355,0,4355,4355,2834.078,164,2,3,0,,FC3
ORD00003,31-Jan-2025,CUST1088,North,Consumer,PROD415,Fashion,Accessories,2,2478,0.1,4956,4460.4,3172.694,283,5,6,0,,FC3
ORD00004,19-May-2023,CUST1618,North,Corporate,PROD227,Lifestyle,Fitness,3,1617,0.1,4851,4365.9,3716.506,139,4,4,0,,FC4
ORD00005,12-May-2023,CUST1012,East,Consumer,PROD197,Electronics,Audio,5,2039,0,10195,10195,7295.35,189,6,6,0,,FC2
ORD00006,13-Sep-2023,CUST1077,North,Corporate,PROD325,Lifestyle,Home Decor,2,2016,0.1,4032,3628.8,2665.76,168,3,3,1,Late Delivery,FC4
ORD00007,16-Apr-2023,CUST1466,South,Small Business,PROD489,Fashion,Footwear,3,386,0.3,1158,810.6,902.4712,255,2,3,0,,FC1
ORD00008,12-Apr-2023,CUST1534,South,Corporate,PROD309,Fashion,Footwear,3,1763,0,5289,5289,3457.588,104,2,3,0,,FC3
ORD00009,20-Jan-2024,CUST1848,East,Consumer,PROD255,Lifestyle,Home Decor,3,2267,0.5,6801,3400.5,5414.714,225,2,2,0,,FC1
ORD00010,17-Nov-2025,CUST1533,South,Corporate,PROD474,Lifestyle,Home Decor,5,4846,0,24230,24230,15226.27,89,2,2,0,,FC4
ORD00011,31-Dec-2025,CUST1341,North,Small Business,PROD189,Electronics,Audio,3,2702,0.15,8106,6890.1,5198.797,276,4,2,0,,FC4
ORD00012,23-May-2023,CUST1101,North,Small Business,PROD313,Electronics,Laptop,4,1172,0.2,4688,3750.4,3051.727,271,5,4,0,,FC4
ORD00013,7-Jan-2025,CUST1481,West,Small Business,PROD349,Electronics,Mobile,5,3246,0.1,16230,14607,11481.94,214,4,2,0,,FC3
ORD00014,13-Mar-2025,CUST1798,South,Consumer,PROD463,Lifestyle,Beauty,1,2533,0.3,2533,1773.1,1816.989,170,2,2,0,,FC2
ORD00015,17-Apr-2025,CUST1906,West,Corporate,PROD112,Electronics,Laptop,3,4495,0.25,13485,10113.75,8806.705,69,5,2,0,,FC2
ORD00016,11-Feb-2025,CUST1042,West,Small Business,PROD107,Electronics,Mobile,5,924,0.05,4620,4389,2532.204,95,4,3,0,,FC2
ORD00017,19-Aug-2024,CUST1307,South,Consumer,PROD424,Fashion,Accessories,3,3008,0,9024,9024,6162.602,278,2,2,1,Quality Issue,FC1
ORD00018,25-May-2025,CUST1613,West,Consumer,PROD219,Fashion,Accessories,1,1181,0.1,1181,1062.9,597.448,70,5,5,0,,FC3
ORD00019,19-Jul-2023,CUST1661,North,Small Business,PROD356,Fashion,Accessories,5,4884,0.05,24420,23199,16151.88,96,8,6,0,,FC4
ORD00020,23-Nov-2025,CUST1523,East,Consumer,PROD291,Electronics,Mobile,5,1057,0,5285,5285,3084.169,63,5,5,0,,FC4
ORD00021,8-Dec-2025,CUST1537,West,Corporate,PROD152,Lifestyle,Beauty,5,740,0.15,3700,3145,2373.65,166,4,3,0,,FC1
ORD00022,14-Feb-2024,CUST1185,South,Corporate,PROD360,Electronics,Mobile,1,2407,0,2407,2407,1720.98,229,5,5,0,,FC4
ORD00023,22-Mar-2024,CUST1512,East,Small Business,PROD157,Electronics,Mobile,5,2970,0.1,14850,13365,8935.218,152,3,3,0,,FC3
ORD00024,3-Aug-2024,CUST1013,North,Corporate,PROD232,Electronics,Laptop,1,4079,0,4079,4079,2855.235,248,3,4,0,,FC3
ORD00025,30-Jul-2024,CUST1878,East,Consumer,PROD106,Electronics,Laptop,3,1646,0,4938,4938,3939.74,161,3,3,0,,FC4
ORD00026,7-Aug-2023,CUST1197,West,Small Business,PROD315,Lifestyle,Home Decor,1,1532,0.05,1532,1455.4,954.7579,76,5,3,0,,FC4
ORD00027,24-Mar-2023,CUST1615,East,Small Business,PROD344,Lifestyle,Home Decor,1,3627,0,3627,3627,2766.994,177,6,5,1,Quality Issue,FC3
ORD00028,28-Feb-2024,CUST1253,South,Consumer,PROD220,Lifestyle,Home Decor,5,2001,0.4,10005,6003,6414.094,232,3,2,0,,FC4
ORD00029,24-Oct-2023,CUST1391,North,Consumer,PROD218,Lifestyle,Beauty,5,1955,0,9775,9775,6219.523,299,5,3,0,,FC2
ORD00030,25-Sep-2025,CUST1970,West,Small Business,PROD113,Fashion,Accessories,5,1039,0.15,5195,4415.75,3609.092,136,5,3,0,,FC3
ORD00031,6-May-2023,CUST1113,North,Small Business,PROD488,Lifestyle,Home Decor,3,3521,0,10563,10563,5582.179,283,8,6,1,Late Delivery,FC1
ORD00032,14-Feb-2025,CUST1096,South,Small Business,PROD434,Fashion,Accessories,4,2177,0,8708,8708,4513.127,266,4,5,0,,FC2
ORD00033,24-Dec-2024,CUST1474,South,Consumer,PROD194,Fashion,Apparel,4,1083,0,4332,4332,2584.576,127,1,2,1,Damaged,FC3
ORD00034,4-Jul-2023,CUST1652,East,Corporate,PROD225,Electronics,Laptop,3,1657,0.15,4971,4225.35,3420.223,79,7,6,0,,FC3
ORD00035,30-Aug-2023,CUST1561,East,Corporate,PROD357,Lifestyle,Fitness,2,3911,0,7822,7822,5044.16,266,8,6,0,,FC1
ORD00036,25-Jan-2024,CUST1939,North,Consumer,PROD339,Fashion,Footwear,1,2342,0.25,2342,1756.5,1629.793,298,4,4,0,,FC1
ORD00037,11-Jan-2024,CUST1790,East,Corporate,PROD225,Fashion,Footwear,4,2131,0.1,8524,7671.6,6121.351,183,4,3,0,,FC4
ORD00038,5-Oct-2025,CUST1615,East,Small Business,PROD324,Fashion,Accessories,2,2483,0.1,4966,4469.4,3064.12,276,8,6,0,,FC2
ORD00039,7-Aug-2024,CUST1524,West,Small Business,PROD127,Lifestyle,Beauty,2,3735,0.05,7470,7096.5,4116.262,147,8,6,0,,FC3
ORD00040,25-Jan-2023,CUST1644,East,Small Business,PROD277,Electronics,Mobile,2,3102,0.25,6204,4653,3459.413,172,3,2,1,Quality Issue,FC2
ORD00041,10-Jun-2023,CUST1124,West,Consumer,PROD212,Lifestyle,Home Decor,5,3949,0.1,19745,17770.5,13127.4,117,7,6,0,,FC4
ORD00042,8-Apr-2024,CUST1288,North,Small Business,PROD199,Lifestyle,Beauty,4,1300,0.15,5200,4420,3119.197,156,3,2,0,,FC4
ORD00043,9-Nov-2024,CUST1798,East,Small Business,PROD355,Fashion,Apparel,4,3139,0.2,12556,10044.8,9425.996,145,3,3,0,,FC3
ORD00044,24-May-2024,CUST1575,North,Small Business,PROD231,Electronics,Audio,4,2566,0.1,10264,9237.6,5641.209,66,6,6,0,,FC4
ORD00045,6-May-2025,CUST1060,North,Small Business,PROD468,Fashion,Apparel,1,4841,0.15,4841,4114.85,3193.316,298,5,5,0,,FC2
ORD00046,25-Oct-2024,CUST1613,North,Small Business,PROD475,Fashion,Apparel,1,3866,0,3866,3866,2226.96,204,5,4,0,,FC2
ORD00047,11-May-2024,CUST1649,South,Consumer,PROD150,Electronics,Laptop,3,1699,0.1,5097,4587.3,3015.757,91,4,4,0,,FC3
ORD00048,28-Jan-2023,CUST1262,West,Small Business,PROD211,Fashion,Footwear,5,1401,0.05,7005,6654.75,4015.757,68,1,2,0,,FC4
ORD00049,18-Jul-2025,CUST1080,North,Corporate,PROD249,Electronics,Audio,5,4817,0.5,24085,12042.5,13041.54,198,3,3,0,,FC2
ORD00050,12-Jul-2023,CUST1468,East,Small Business,PROD449,Fashion,Footwear,4,1249,0.1,4996,4496.4,3725.678,232,3,4,0,,FC4
ORD00051,30-Mar-2025,CUST1080,North,Corporate,PROD344,Fashion,Apparel,2,1069,0.2,2138,1710.4,1258.622,148,8,6,0,,FC1
ORD00052,20-Feb-2025,CUST1015,South,Small Business,PROD459,Lifestyle,Beauty,2,1364,0.4,2728,1636.8,1662.421,240,3,3,0,,FC3
ORD00053,30-Sep-2023,CUST1853,East,Small Business,PROD470,Fashion,Apparel,2,1491,0.25,2982,2236.5,2137.448,170,6,6,0,,FC4
ORD00054,24-Mar-2024,CUST1226,East,Corporate,PROD292,Fashion,Apparel,2,1204,0,2408,2408,1492.267,54,5,5,0,,FC3
ORD00055,15-Nov-2024,CUST1123,West,Corporate,PROD245,Lifestyle,Home Decor,5,3665,0.2,18325,14660,11983.93,266,5,5,0,,FC2
ORD00056,15-Apr-2024,CUST1149,North,Consumer,PROD261,Lifestyle,Beauty,4,4081,0,16324,16324,9880.536,201,3,2,0,,FC4
ORD00057,4-Jul-2023,CUST1827,West,Consumer,PROD346,Fashion,Apparel,2,3539,0.1,7078,6370.2,4517.959,114,4,4,0,,FC4
ORD00058,14-Oct-2025,CUST1954,West,Small Business,PROD235,Fashion,Apparel,4,4041,0.05,16164,15355.8,10158.01,216,9,6,1,,FC1
ORD00059,1-Jan-2024,CUST1137,South,Consumer,PROD467,Fashion,Apparel,3,959,0.4,2877,1726.2,1654.274,117,7,6,0,,FC4
ORD00060,31-Jul-2024,CUST1173,East,Corporate,PROD196,Lifestyle,Home Decor,3,1918,0.05,5754,5466.3,3707.775,195,5,5,0,,FC3
ORD00061,12-Feb-2024,CUST1532,West,Small Business,PROD251,Electronics,Audio,3,2854,0.1,8562,7705.8,4442.748,51,4,3,0,,FC2
ORD00062,26-Aug-2025,CUST1553,East,Consumer,PROD375,Fashion,Accessories,1,1291,0,1291,1291,694.3524,219,6,6,0,,FC1
ORD00063,23-Apr-2024,CUST1200,South,Consumer,PROD374,Fashion,Accessories,1,1066,0.25,1066,799.5,806.0927,156,2,2,0,,FC2
ORD00064,1-Jun-2025,CUST1539,East,Small Business,PROD161,Fashion,Footwear,3,1496,0.05,4488,4263.6,2513.109,267,6,4,0,,FC2
ORD00065,4-Jan-2025,CUST1192,North,Consumer,PROD172,Lifestyle,Home Decor,1,1341,0,1341,1341,940.823,186,4,4,0,,FC4
ORD00066,2-Aug-2025,CUST1088,West,Corporate,PROD146,Electronics,Mobile,4,4230,0.4,16920,10152,12570.49,175,6,4,0,,FC1
ORD00067,16-Dec-2024,CUST1834,East,Consumer,PROD273,Fashion,Footwear,1,4881,0.4,4881,2928.6,3089.093,191,4,4,0,,FC1
ORD00068,2-Aug-2023,CUST1085,East,Corporate,PROD374,Electronics,Laptop,3,1149,0.4,3447,2068.2,2697.613,190,5,4,0,,FC2
ORD00069,3-Apr-2023,CUST1535,South,Corporate,PROD390,Lifestyle,Beauty,3,2415,0.25,7245,5433.75,5001.662,283,4,4,0,,FC3
ORD00070,3-Sep-2024,CUST1693,South,Corporate,PROD246,Lifestyle,Beauty,3,3027,0.1,9081,8172.9,5761.986,268,2,2,0,,FC2
ORD00071,31-Dec-2023,CUST1155,East,Corporate,PROD250,Electronics,Audio,3,333,0.15,999,849.15,600.9914,204,6,6,0,,FC3
ORD00072,25-Jul-2025,CUST1034,South,Small Business,PROD146,Fashion,Apparel,4,2652,0,10608,10608,6729.636,174,6,6,0,,FC3
ORD00073,2-Mar-2024,CUST1478,South,Small Business,PROD210,Fashion,Footwear,4,741,0.05,2964,2815.8,1697.361,132,5,4,0,,FC2
ORD00074,2-Jan-2025,CUST1732,East,Small Business,PROD114,Fashion,Apparel,3,2506,0.05,7518,7142.1,4161.956,194,4,4,0,,FC3
ORD00075,24-Jan-2024,CUST1505,East,Small Business,PROD113,Fashion,Apparel,2,2145,0.2,4290,3432,3121.072,65,8,6,1,Late Delivery,FC4
ORD00076,18-May-2023,CUST1272,North,Small Business,PROD210,Fashion,Apparel,4,4109,0.3,16436,11505.2,10749.38,150,4,2,0,,FC2
ORD00077,10-May-2024,CUST1461,West,Small Business,PROD103,Electronics,Laptop,4,2987,0.25,11948,8961,9447.418,259,2,2,1,Size Issue,FC1
ORD00078,22-Apr-2025,CUST1068,North,Consumer,PROD425,Lifestyle,Beauty,3,503,0,1509,1509,766.4439,210,8,6,0,,FC2
ORD00079,22-Apr-2023,CUST1701,West,Consumer,PROD195,Fashion,Apparel,2,2569,0.2,5138,4110.4,2822.921,156,5,5,0,,FC3
ORD00080,13-Jun-2025,CUST1512,East,Small Business,PROD397,Fashion,Footwear,4,892,0.1,3568,3211.2,2625.07,57,4,4,0,,FC4
ORD00081,16-Jan-2023,CUST1853,South,Consumer,PROD371,Lifestyle,Home Decor,2,1228,0.1,2456,2210.4,1362.345,130,4,4,0,,FC2
ORD00082,18-Oct-2025,CUST1622,North,Small Business,PROD402,Electronics,Laptop,1,3826,0.1,3826,3443.4,2071.124,278,7,6,0,,FC4
ORD00083,25-Feb-2023,CUST1897,South,Consumer,PROD169,Electronics,Mobile,3,2815,0.1,8445,7600.5,6359.324,297,3,4,1,Damaged,FC4
ORD00084,4-Oct-2024,CUST1991,South,Consumer,PROD228,Electronics,Audio,1,1404,0.05,1404,1333.8,873.2707,252,3,3,0,,FC3
ORD00085,26-Dec-2023,CUST1564,South,Corporate,PROD428,Electronics,Audio,4,898,0,3592,3592,2716.643,226,3,3,0,,FC4
ORD00086,8-Jan-2025,CUST1852,West,Small Business,PROD251,Electronics,Mobile,4,1283,0.1,5132,4618.8,3384.037,191,7,6,0,,FC4
ORD00087,22-Mar-2024,CUST1041,South,Small Business,PROD466,Lifestyle,Home Decor,5,2767,0.1,13835,12451.5,9258.909,228,6,4,0,,FC1
ORD00088,22-Apr-2025,CUST1114,East,Small Business,PROD254,Lifestyle,Fitness,1,3233,0,3233,3233,2469.149,129,5,4,0,,FC1
ORD00089,13-Mar-2024,CUST1180,East,Small Business,PROD353,Fashion,Accessories,5,2086,0,10430,10430,7489.72,263,3,2,0,,FC2
ORD00090,17-Mar-2024,CUST1662,West,Small Business,PROD275,Electronics,Laptop,3,4042,0.05,12126,11519.7,8099.779,130,2,3,0,,FC3
ORD00091,9-Aug-2023,CUST1854,West,Corporate,PROD329,Fashion,Accessories,4,509,0.2,2036,1628.8,1478.505,283,8,6,0,,FC1
ORD00092,8-Jul-2025,CUST1015,East,Small Business,PROD193,Electronics,Laptop,5,3583,0.1,17915,16123.5,12090.83,98,8,6,0,,FC2
ORD00093,21-Feb-2024,CUST1724,South,Consumer,PROD255,Fashion,Apparel,2,2153,0.05,4306,4090.7,3347.479,220,3,2,1,,FC2
ORD00094,17-Oct-2025,CUST1940,North,Consumer,PROD441,Lifestyle,Fitness,5,503,0,2515,2515,1369.673,161,4,3,0,,FC1
ORD00095,7-Aug-2023,CUST1851,West,Corporate,PROD112,Lifestyle,Home Decor,4,4455,0.2,17820,14256,10637.8,229,2,2,0,,FC3
ORD00096,24-Aug-2025,CUST1015,South,Consumer,PROD190,Electronics,Mobile,4,4548,0.05,18192,17282.4,11170.95,70,5,4,0,,FC2
ORD00097,17-Mar-2023,CUST1547,South,Consumer,PROD231,Lifestyle,Home Decor,4,1057,0.25,4228,3171,3324.862,164,8,6,0,,FC3
ORD00098,6-Apr-2025,CUST1533,North,Corporate,PROD171,Lifestyle,Fitness,1,3774,0.05,3774,3585.3,2559.384,182,3,4,0,,FC1
ORD00099,25-Jan-2023,CUST1174,East,Consumer,PROD251,Lifestyle,Home Decor,4,1489,0,5956,5956,4323.428,231,1,2,0,,FC4
ORD00100,18-Jun-2025,CUST1867,South,Consumer,PROD375,Lifestyle,Home Decor,5,3491,0.15,17455,14836.75,11158.66,88,2,3,0,,FC3
ORD00101,25-Dec-2023,CUST1762,North,Consumer,PROD181,Electronics,Laptop,4,3480,0.05,13920,13224,8896.31,56,2,3,0,,FC4
ORD00102,5-Apr-2025,CUST1798,East,Small Business,PROD270,Electronics,Audio,5,4377,0.2,21885,17508,15037.88,252,5,5,0,,FC4
ORD00103,25-Aug-2025,CUST1501,South,Corporate,PROD215,Electronics,Audio,2,1651,0.4,3302,1981.2,2475.415,295,6,6,0,,FC3
ORD00104,31-Aug-2025,CUST1155,South,Small Business,PROD101,Fashion,Accessories,5,1024,0.4,5120,3072,2680.23,229,6,6,0,,FC2
ORD00105,2-Feb-2025,CUST1370,East,Small Business,PROD174,Fashion,Accessories,1,4885,0.25,4885,3663.75,2492.018,116,6,6,0,,FC2
ORD00106,16-Jan-2025,CUST1219,South,Consumer,PROD271,Electronics,Audio,2,387,0,774,774,420.815,135,3,3,1,Late Delivery,FC2
ORD00107,27-Apr-2024,CUST1064,East,Consumer,PROD245,Lifestyle,Fitness,2,1605,0.15,3210,2728.5,2401.139,219,5,5,0,,FC2
ORD00108,21-May-2025,CUST1313,North,Small Business,PROD178,Electronics,Laptop,4,1743,0.15,6972,5926.2,4006.424,143,4,4,0,,FC3
